package name,file,class,type,cbo,totalMethodsQty,nosi,parenthesizedExpsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,modifiers,nof,nom,fanin,fanout,ca,ce,I,D,is_CD
org.jext.options,F:\detectionresult\project\jext-main\lib\org\jext\options\UIOptions.java,org.jext.options.UIOptions$SkinItem,innerclass,132,147,336,46,28,42,3,86,168,234,43,90,1,5,0.83,0.17,1
org.jext.print,F:\detectionresult\project\jext-main\lib\org\jext\print\PrintText.java,org.jext.print.PrintText$Page,innerclass,11,39,15,22,62,9,0,11,30,51,3,3,1,3,0.75,0.25,0
org.jext.project,F:\detectionresult\project\jext-main\lib\org\jext\project\ProjectManager.java,org.jext.project.ProjectManager,interface,39,65,10,24,0,13,1,2059,29,77,18,25,1,3,0.75,0.3,1
org.jext.protocol.jextresource,F:\detectionresult\project\jext-main\lib\org\jext\protocol\jextresource\PluginResURLConnection.java,org.jext.protocol.jextresource.PluginResURLConnection,class,2,5,2,0,1,6,0,2,1,5,1,1,0,1,1,0,0
org.jext.scripting,F:\detectionresult\project\jext-main\lib\org\jext\scripting\Logger.java,org.jext.scripting.Logger,interface,8,14,1,0,2,1,1,1026,5,18,2,3,4,2,0.33,0.17,1
org.jext.scripting.dawn,F:\detectionresult\project\jext-main\lib\org\jext\scripting\dawn\Run.java,org.jext.scripting.dawn.Run$ThreadExecuter,innerclass,15,9,11,1,0,9,0,26,6,11,10,12,3,4,0.57,0.43,1
org.jext.scripting.dawn.functions,F:\detectionresult\project\jext-main\lib\org\jext\scripting\dawn\functions\YesNoFunction.java,org.jext.scripting.dawn.functions.YesNoFunction,class,56,32,10,1,1,3,0,15,2,34,1,23,0,7,1,0,0
org.jext.scripting.python,F:\detectionresult\project\jext-main\lib\org\jext\scripting\python\Run.java,org.jext.scripting.python.Run,class,18,14,13,1,4,12,1,18,8,16,12,8,2,7,0.78,0.22,1
org.jext.search,F:\detectionresult\project\jext-main\lib\org\jext\search\SearchResult.java,org.jext.search.SearchResult,class,61,71,49,24,75,34,2,9,62,76,15,26,2,5,0.71,0.21,1
org.jext.textarea,F:\detectionresult\project\jext-main\lib\org\jext\textarea\ScrollUp.java,org.jext.textarea.ScrollUp,class,21,18,14,14,27,16,0,137,7,18,0,3,1,4,0.8,0.2,0
org.jext.toolbar,F:\detectionresult\project\jext-main\lib\org\jext\toolbar\JextToolBar.java,org.jext.toolbar.JextToolBar,class,15,17,10,5,2,7,1,3,7,18,3,9,3,4,0.57,0.43,1
org.jext.xinsert,F:\detectionresult\project\jext-main\lib\org\jext\xinsert\XTreeObject.java,org.jext.xinsert.XTreeObject,class,21,40,14,5,20,15,1,4,26,43,8,17,2,7,0.78,0.22,1
org.jext.xml,F:\detectionresult\project\jext-main\lib\org\jext\xml\XPropertiesReader.java,org.jext.xml.XPropertiesReader,class,50,4.214285714,0.071428571,0.071428571,1.857142857,2.714285714,0,1,3.5,4.214285714,1.285714286,1.428571429,2,5,0.71,0.29,1
org.jhotdraw.applet,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\applet\DrawApplet.java,org.jhotdraw.applet.DrawApplet,class,35,41,11,0,6,1,3,1,16,44,0,0,3,4,0.57,0.43,0
org.jhotdraw.application,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\application\DrawApplication.java,org.jhotdraw.application.DrawApplication,class,49,90,12,3,9,3,11,1,20,105,4,4,12,5,0.29,0.71,1
org.jhotdraw.contrib,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\contrib\WindowMenu.java,org.jhotdraw.contrib.WindowMenu$ChildMenuItem,innerclass,337,511,79,114,292,67,15,1106,104,574,75,125,10,11,0.52,0.38,0
org.jhotdraw.contrib.dnd,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\contrib\dnd\JHDDropTargetListener.java,org.jhotdraw.contrib.dnd.JHDDropTargetListener$AddUndoActivity,innerclass,63,82,35,6,7,19,1,1049,27,91,21,33,2,3,0.6,0.2,1
org.jhotdraw.contrib.html,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\contrib\html\URLContentProducer.java,org.jhotdraw.contrib.html.URLContentProducer,class,122,214,25,36,13,23,4,2082,48,218,38,64,1,5,0.83,0.12,0
org.jhotdraw.contrib.zoom,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\contrib\zoom\ZoomUpdateStrategy.java,org.jhotdraw.contrib.zoom.ZoomUpdateStrategy,class,48,117,9,166,171,10,3,1035,18,129,5,16,2,4,0.67,0.26,0
org.jhotdraw.figures,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\figures\UngroupCommand.java,org.jhotdraw.figures.UngroupCommand$UndoActivity,innerclass,373,434,109,78,169,56,0,2178,116,494,57,73,19,3,0.14,0.8,0
org.jhotdraw.framework,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\framework\ViewChangeListener.java,org.jhotdraw.framework.ViewChangeListener,interface,68,259,3,10,4,2,0,26,42,259,136,40,20,2,0.09,0.1,1
org.jhotdraw.samples.javadraw,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\samples\javadraw\URLTool.java,org.jhotdraw.samples.javadraw.URLTool,class,120,7.3,0.7,2.1,5.2,1.5,0.7,0.9,2.3,8,1,1.2,3,9,0.75,0.25,0
org.jhotdraw.samples.mini,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\samples\mini\ConnectingFiguresSample.java,org.jhotdraw.samples.mini.ConnectingFiguresSample,class,0,1,1,0,0,0,1,1,0,2,0,1,0,6,1,0,0
org.jhotdraw.samples.minimap,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\samples\minimap\MiniMapDesktop.java,org.jhotdraw.samples.minimap.MiniMapDesktop,class,10,4,1,0,0,0,0,2,1,4,2,5,1,4,0.8,0.2,0
org.jhotdraw.samples.net,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\samples\net\NodeFigure.java,org.jhotdraw.samples.net.NodeFigure,class,24,17,16,1,6,2,0,2,3,17,2,3,1,5,0.83,0.17,0
org.jhotdraw.samples.nothing,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\samples\nothing\NothingApplet.java,org.jhotdraw.samples.nothing.NothingApplet,class,27,4,0,0,16,0,0,2,0,4,1,1,1,5,0.83,0.17,0
org.jhotdraw.samples.offsetConnectors,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\samples\offsetConnectors\NodeFigure.java,org.jhotdraw.samples.offsetConnectors.NodeFigure,class,35,24,18,1,12,2,0,4,5,24,4,10,0,5,1,0,0
org.jhotdraw.samples.pert,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\samples\pert\PertFigureCreationTool.java,org.jhotdraw.samples.pert.PertFigureCreationTool,class,49,43,13,5,33,3,0,5,10,43,9,9,1,6,0.86,0.14,0
org.jhotdraw.standard,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\standard\ToolButton.java,org.jhotdraw.standard.ToolButton,class,666,893,139,109,157,96,9,13579,230,1023,156,200,20,5,0.2,0.67,0
org.jhotdraw.util,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\util\VersionRequester.java,org.jhotdraw.util.VersionRequester,interface,135,437,119,191,286,57,3,2105,91,447,141,65,21,2,0.09,0.68,1
org.jhotdraw.util.collections.jdk11,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\util\collections\jdk11\SetWrapper.java,org.jhotdraw.util.collections.jdk11.SetWrapper,class,7,67,0,0,0,1,0,5,4,67,5,5,1,1,0.5,0.5,0
org.jhotdraw.util.collections.jdk12,F:\detectionresult\project\jhotdraw6-master\src\main\java\org\jhotdraw\util\collections\jdk12\CollectionsFactoryJDK12.java,org.jhotdraw.util.collections.jdk12.CollectionsFactoryJDK12,class,1,8,0,0,0,0,0,1,0,8,0,0,1,1,0.5,0.5,0
org.junit,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\TestCouldNotBeSkippedException.java,org.junit.TestCouldNotBeSkippedException,class,29,101,105,2,32,7,0,25,25,117,24,11,41,6,0.13,0.35,1
org.junit.experimental,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\ParallelComputer.java,org.junit.experimental.ParallelComputer,class,6,6,2,1,0,1,1,1,3,8,1,3,1,3,0.75,0.25,0
org.junit.experimental.categories,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\categories\IncludeCategories.java,org.junit.experimental.categories.IncludeCategories$IncludesAny,class,49,41,36,0,2,9,0,1105,9,67,6,12,3,11,0.79,0.03,0
org.junit.experimental.max,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\max\MaxHistory.java,org.junit.experimental.max.MaxHistory$TestComparator,class,26,31,13,0,3,6,1,23,11,38,6,17,1,7,0.88,0.12,0
org.junit.experimental.results,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\results\ResultMatchers.java,org.junit.experimental.results.ResultMatchers,class,16,15,3,0,0,2,4,2,2,23,4,8,7,4,0.36,0.64,0
org.junit.experimental.runners,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\runners\Enclosed.java,org.junit.experimental.runners.Enclosed,class,3,2,2,0,0,2,0,1,0,2,1,2,4,2,0.33,0.67,0
org.junit.experimental.theories,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\Theories.java,org.junit.experimental.theories.Theories$TheoryAnchor,class,29,43,20,2,8,6,3,2070,13,71,16,19,10,5,0.33,0.2,1
org.junit.experimental.theories.internal,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\internal\SpecificDataPointsSupplier.java,org.junit.experimental.theories.internal.SpecificDataPointsSupplier,class,40,47,26,1,4,12,0,14,8,50,10,24,4,3,0.45,0.57,0
org.junit.experimental.theories.suppliers,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\suppliers\TestedOnSupplier.java,org.junit.experimental.theories.suppliers.TestedOnSupplier,class,5,1,1,0,0,1,0,1,0,1,0,2,1,1,0.5,0,0
org.junit.function,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\function\ThrowingRunnable.java,org.junit.function.ThrowingRunnable,interface,0,1,0,0,0,0,0,1,0,1,2,0,4,0,0,0,0
org.junit.internal,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\Throwables.java,org.junit.internal.Throwables,class,28,63,40,4,18,15,4,1068,18,74,25,12,23,12,0.34,0.58,1
org.junit.internal.builders,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\builders\SuiteMethodBuilder.java,org.junit.internal.builders.SuiteMethodBuilder,class,37,22,4,0,0,7,0,8,4,22,8,11,5,9,0.64,0.36,1
org.junit.internal.management,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\management\ThreadMXBean.java,org.junit.internal.management.ThreadMXBean,interface,19,16,9,0,0,8,0,181,16,19,19,16,2,1,0.33,0.5,0
org.junit.internal.matchers,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\matchers\TypeSafeMatcher.java,org.junit.internal.matchers.TypeSafeMatcher,class,23,23,4,0,0,3,0,1028,4,23,5,6,3,3,0.5,0.33,0
org.junit.internal.requests,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\requests\SortingRequest.java,org.junit.internal.requests.SortingRequest,class,27,13,1,0,0,6,0,1048,10,15,3,12,2,5,0.71,0.04,0
org.junit.internal.runners,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\TestMethod.java,org.junit.internal.runners.TestMethod,class,89,96,27,3,8,22,4,36,23,109,15,49,11,9,0.45,0.5,0
org.junit.internal.runners.model,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\model\ReflectiveCallable.java,org.junit.internal.runners.model.ReflectiveCallable,class,8,12,0,0,0,2,0,1027,3,12,2,4,2,4,0.67,0,0
org.junit.internal.runners.rules,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\rules\ValidationError.java,org.junit.internal.runners.rules.ValidationError,class,54,23,14,2,0,10,0,219,14,37,19,31,2,3,0.6,0.32,0
org.junit.internal.runners.statements,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\statements\RunBefores.java,org.junit.internal.runners.statements.RunBefores,class,24,28,8,1,4,11,0,17,23,34,6,15,4,6,0.6,0.4,0
org.junit.matchers,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\matchers\JUnitMatchers.java,org.junit.matchers.JUnitMatchers,class,5,10,2,0,0,0,0,1,0,10,0,1,1,3,0.75,0.25,0
org.junit.rules,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\rules\Verifier.java,org.junit.rules.Verifier,class,92,126,26,0,11,15,6,3117,33,151,23,54,14,15,0.52,0.42,0
org.junit.runner,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runner\Runner.java,org.junit.runner.Runner,class,77,106,43,4,9,13,3,2111,40,121,109,50,41,16,0.28,0.53,1
org.junit.runner.manipulation,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runner\manipulation\Sorter.java,org.junit.runner.manipulation.Sorter,class,33,31,5,1,2,4,6,2100,10,46,39,24,11,1,0.08,0.55,1
org.junit.runner.notification,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runner\notification\SynchronizedRunListener.java,org.junit.runner.notification.SynchronizedRunListener,class,25,49,3,1,2,4,9,1046,10,62,38,20,23,6,0.21,0.68,1
org.junit.runners,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runners\Suite.java,org.junit.runners.Suite,class,123,107,31,6,6,18,8,1094,43,135,14,60,35,14,0.29,0.49,0
org.junit.runners.model,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runners\model\TestTimedOutException.java,org.junit.runners.model.TestTimedOutException,class,42,106,33,4,8,16,3,3105,18,111,110,20,27,9,0.25,0.61,1
org.junit.runners.parameterized,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runners\parameterized\TestWithParameters.java,org.junit.runners.parameterized.TestWithParameters,class,35,28,4,1,18,4,0,8,5,32,9,15,2,9,0.82,0.06,0
org.junit.validator,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\validator\TestClassValidator.java,org.junit.validator.TestClassValidator,class,32,17,5,0,2,5,0,2109,6,27,9,22,4,7,0.64,0.08,0
org.quickserver.net.client,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\HttpHost.java,org.quickserver.net.client.HttpHost,class,17,149,29,1,18,14,0,8,66,149,43,8,6,1,0.14,0.76,0
org.quickserver.net.client.loaddistribution,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\loaddistribution\LoadPattern.java,org.quickserver.net.client.loaddistribution.LoadPattern,interface,28,24,4,0,2,16,0,6,13,24,2,17,2,1,0.33,0.17,0
org.quickserver.net.client.monitoring.impl,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\monitoring\impl\UDPMonitor.java,org.quickserver.net.client.monitoring.impl.UDPMonitor,class,27,42,23,1,14,21,2,7,21,44,7,19,1,2,0.67,0.33,0
org.quickserver.net.client.pool,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\pool\PooledBlockingClient.java,org.quickserver.net.client.pool.PooledBlockingClient,class,23,67,17,1,18,10,4,3,24,79,3,16,0,5,1,0.14,0
org.quickserver.net.qsadmin,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\qsadmin\Data.java,org.quickserver.net.qsadmin.Data,class,30,15,48,0,89,15,0,4,8,15,5,13,3,7,0.7,0.18,1
org.quickserver.net.qsadmin.gui,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\qsadmin\gui\SplashScreen.java,org.quickserver.net.qsadmin.gui.SplashScreen,class,59,139,56,2,95,26,22,17,143,165,43,54,0,5,1,0.02,0
org.quickserver.net.server,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\GhostSocketReaper.java,org.quickserver.net.server.GhostSocketReaper,class,37,114,12,2,16,9,0,17,27,114,57,22,9,14,0.61,0.11,1
org.quickserver.net.server.gui,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\gui\About.java,org.quickserver.net.server.gui.About,class,4,3,12,0,11,1,1,1,19,4,2,3,1,3,0.75,0.25,1
org.quickserver.net.server.impl,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\impl\SyncClientIdentifier.java,org.quickserver.net.server.impl.SyncClientIdentifier,class,90,215,121,5,128,32,0,2065,91,216,5,8,3,10,0.77,0.03,1
org.quickserver.security,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\security\SecureStoreManager.java,org.quickserver.security.SecureStoreManager,class,9,39,14,0,10,2,0,2,2,39,0,0,1,2,0.67,0.33,0
org.quickserver.sql,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\sql\DBPoolUtil.java,org.quickserver.sql.DBPoolUtil,interface,0,4,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0
org.quickserver.swing,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\swing\SensitiveInput.java,org.quickserver.swing.SensitiveInput,class,4,17,13,2,25,5,3,2,8,20,7,3,4,1,0.2,0.8,1
org.quickserver.util,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\TextFile.java,org.quickserver.util.TextFile,class,9,47,53,2,44,15,1,23,16,48,28,6,8,2,0.2,0.68,0
org.quickserver.util.io,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\io\PasswordField.java,org.quickserver.util.io.PasswordField,class,14,40,19,4,27,15,0,5,18,40,6,5,6,4,0.4,0.6,1
org.quickserver.util.logging,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\logging\SimpleTextFormatter.java,org.quickserver.util.logging.SimpleTextFormatter,class,12,26,18,0,4,19,1,19,24,29,5,9,0,3,1,0,0
org.quickserver.util.pool,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\QSObjectPoolMaker.java,org.quickserver.util.pool.QSObjectPoolMaker,interface,22,52,6,1,2,8,0,17,21,52,9,4,4,3,0.43,0.24,0
org.quickserver.util.pool.thread,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\thread\ThreadObjectFactory.java,org.quickserver.util.pool.thread.ThreadObjectFactory,class,14,37,5,6,10,9,0,11,19,38,7,9,0,0,0,1,1
org.quickserver.util.pool.thread.app,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\thread\app\QSUncaughtExceptionHandler.java,org.quickserver.util.pool.thread.app.QSUncaughtExceptionHandler,class,4,14,2,1,4,1,0,3,10,14,2,2,2,5,0.71,0.19,0
org.quickserver.util.xmlreader,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\xmlreader\TrustStoreInfo.java,org.quickserver.util.xmlreader.TrustStoreInfo,class,105,277,11,0,333,35,0,28,109,277,56,58,7,5,0.42,0.58,1
(default package),F:\detectionresult\project\1208\javacc-master\test\newToken\OldToken.java,Token,class,459,904,116,243,647,159,0,140,503,904,61,64,4,3,0.43,0.57,0
org.javacc,F:\detectionresult\project\1208\javacc-master\src\test\java\org\javacc\JavaCCTestCase.java,org.javacc.JavaCCTestCase,class,2,5,0,1,4,2,0,1026,5,5,8,0,3,1,0.25,0.25,0
org.javacc.jjdoc,F:\detectionresult\project\1208\javacc-master\src\main\java\org\javacc\jjdoc\XTextGenerator.java,org.javacc.jjdoc.XTextGenerator,class,107,158,149,17,51,22,0,25,13,158,26,81,1,1,0.5,0.39,0
org.javacc.jjdoc.test,F:\detectionresult\project\1208\javacc-master\src\test\java\org\javacc\jjdoc\test\JJDocMainTest.java,org.javacc.jjdoc.test.JJDocMainTest,class,2,6,2,0,4,0,0,1,0,6,0,1,0,1,1,0,0
org.javacc.jjtree,F:\detectionresult\project\1208\javacc-master\src\test\java\org\javacc\jjtree\JJTreeOptionsTest.java,org.javacc.jjtree.JJTreeOptionsTest,class,276,330,424,40,236,49,0,164,69,331,148,172,1,4,0.8,0.17,0
org.javacc.parser,F:\detectionresult\project\1208\javacc-master\src\test\java\org\javacc\parser\OptionsTest.java,org.javacc.parser.OptionsTest,class,496,622,1427,790,1594,149,0,3339,448,663,416,339,4,3,0.43,0.49,1
org.javacc.utils,F:\detectionresult\project\1208\javacc-master\src\test\java\org\javacc\utils\OutputFileGeneratorTest.java,org.javacc.utils.OutputFileGeneratorTest,class,9,22,6,7,20,5,0,3,6,22,10,6,2,2,0.5,0.5,0
org.webmacro.parser,F:\detectionresult\project\1208\javacc-master\grammars\BackupCharStream.java,org.webmacro.parser.BackupCharStream$Buffer,innerclass,7,27,6,10,23,4,0,43,26,29,1,1,0,1,1,0,0
pl.allegro.tech.build.axion.release.domain,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\domain\VersionSorter.java,pl.allegro.tech.build.axion.release.domain.VersionSorter,class,57,45,14,8,15,7,0,69,54,54,21,41,2,3,0.6,0.4,1
pl.allegro.tech.build.axion.release.domain.hooks,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\domain\hooks\SimpleReleaseHookAction.java,pl.allegro.tech.build.axion.release.domain.hooks.SimpleReleaseHookAction,class,56,38,6,4,5,1,1,135,13,45,16,26,0,5,1,0.15,1
pl.allegro.tech.build.axion.release.domain.logging,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\domain\logging\ReleaseLoggerFactory.java,pl.allegro.tech.build.axion.release.domain.logging.ReleaseLoggerFactory,interface,11,76,0,0,0,0,0,13,4,142,10,5,4,2,0.33,0.27,0
pl.allegro.tech.build.axion.release.domain.properties,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\domain\properties\VersionProperties.java,pl.allegro.tech.build.axion.release.domain.properties.VersionProperties,class,11,41,4,0,0,0,0,7,31,41,19,6,3,1,0.25,0.75,0
pl.allegro.tech.build.axion.release.domain.scm,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\domain\scm\TagsOnCommit.java,pl.allegro.tech.build.axion.release.domain.scm.TagsOnCommit,class,22,74,6,0,4,3,0,11,32,74,30,15,3,2,0.4,0.5,0
pl.allegro.tech.build.axion.release.infrastructure.config,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\infrastructure\config\MonorepoPropertiesFactory.java,pl.allegro.tech.build.axion.release.infrastructure.config.MonorepoPropertiesFactory,class,3,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0
pl.allegro.tech.build.axion.release.infrastructure.git,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\infrastructure\git\TransportConfigFactory.java,pl.allegro.tech.build.axion.release.infrastructure.git.TransportConfigFactory,class,66,51,21,4,6,12,0,27,15,52,3,7,0,4,1,0,0
pl.allegro.tech.build.axion.release.infrastructure.output,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\infrastructure\output\GradleReleaseLoggerFactory.java,pl.allegro.tech.build.axion.release.infrastructure.output.GradleReleaseLoggerFactory,class,8,76,0,0,0,0,0,11,2,150,1,1,1,2,0.67,0.33,0
pl.allegro.tech.build.axion.release.util,F:\detectionresult\project\1208\axion-release-plugin-master\src\main\java\pl\allegro\tech\build\axion\release\util\FileLoader.java,pl.allegro.tech.build.axion.release.util.FileLoader,class,2,6,3,4,0,2,0,26,1,7,3,2,0,0,0,1,0
com.acme.servlet,F:\detectionresult\project\1208\cobertura-master\cobertura\src\test\java\com\acme\servlet\SimpleServlet.java,com.acme.servlet.SimpleServlet,class,3,1,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0
net.sourceforge.cobertura,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\Cobertura.java,net.sourceforge.cobertura.Cobertura,class,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.5,0
net.sourceforge.cobertura.ant,F:\detectionresult\project\1208\cobertura-master\cobertura\src\test\java\net\sourceforge\cobertura\ant\Util.java,net.sourceforge.cobertura.ant.Util,class,87,122,68,11,46,24,2,2087,82,127,37,32,0,4,1,0.09,1
net.sourceforge.cobertura.bugs,F:\detectionresult\project\1208\cobertura-master\cobertura\src\test\java\net\sourceforge\cobertura\bugs\NewFeatureTwitter.java,net.sourceforge.cobertura.bugs.NewFeatureTwitter,class,14,6,5,0,8,2,0,5,9,6,0,3,0,2,1,0,0
net.sourceforge.cobertura.check,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\check\PackageCoverage.java,net.sourceforge.cobertura.check.PackageCoverage,class,9,21,8,20,20,2,0,3,10,21,3,7,0,1,1,0,0
net.sourceforge.cobertura.coveragedata,F:\detectionresult\project\1208\cobertura-master\cobertura\src\test\java\net\sourceforge\cobertura\coveragedata\SwitchDataTest.java,net.sourceforge.cobertura.coveragedata.SwitchDataTest,class,97,237,61,89,58,42,6,2080,72,253,81,58,6,2,0.25,0.53,1
net.sourceforge.cobertura.instrument,F:\detectionresult\project\1208\cobertura-master\cobertura\src\test\java\net\sourceforge\cobertura\instrument\CoberturaInstrumenterTest.java,net.sourceforge.cobertura.instrument.CoberturaInstrumenterTest,class,89,107,40,19,37,20,0,1055,55,115,19,28,3,3,0.5,0.38,1
net.sourceforge.cobertura.instrument.pass1,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\instrument\pass1\DetectIgnoredCodeMethodVisitor.java,net.sourceforge.cobertura.instrument.pass1.DetectIgnoredCodeMethodVisitor,class,30,62,6,10,14,7,0,15,26,64,9,7,0,2,1,0.12,0
net.sourceforge.cobertura.instrument.pass2,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\instrument\pass2\BuildClassMapTouchPointListener.java,net.sourceforge.cobertura.instrument.pass2.BuildClassMapTouchPointListener,class,13,16,0,3,1,1,0,2,5,16,2,5,0,3,1,0,1
net.sourceforge.cobertura.instrument.pass3,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\instrument\pass3\TestUnitCodeProvider.java,net.sourceforge.cobertura.instrument.pass3.TestUnitCodeProvider,class,57,51,0,7,11,7,0,1033,20,53,10,15,0,3,1,0.22,0
net.sourceforge.cobertura.instrument.tp,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\instrument\tp\TouchPointDescriptor.java,net.sourceforge.cobertura.instrument.tp.TouchPointDescriptor,class,13,47,1,4,8,7,0,1029,24,47,9,6,2,2,0.5,0.3,0
net.sourceforge.cobertura.javancss,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\javancss\PackageMetric.java,net.sourceforge.cobertura.javancss.PackageMetric,class,15,43,23,8,18,4,0,1029,30,43,4,4,0,2,1,0.2,0
net.sourceforge.cobertura.javancss.ccl,F:\detectionresult\project\1208\cobertura-master\cobertura\src\main\java\net\sourceforge\cobertura\javancss\ccl\Util.java,net.sourceforge.cobertura.javancss.ccl.Util,class,3,28,15,2,3,8,0,4,2,28,5,3,1,0,0,0.75,0
