package name,file,class,type,cbo,rfc,lcc,publicMethodsQty,privateMethodsQty,abstractMethodsQty,comparisonsQty,parenthesizedExpsQty,maxNestedBlocksQty,publicFieldsQty,uniqueWordsQty,modifiers,loc,dit,lcom,fanin,is_FC
net.sourceforge.pmd.lang.java.symboltable,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symboltable\VariableNameDeclaration.java,net.sourceforge.pmd.lang.java.symboltable.VariableNameDeclaration,class,224,412,0.278449519,157,33,170,97,44,54,9,1495,2139,2226,20,-0.258018696,98,0
net.sourceforge.pmd.lang.java.typeresolution,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\PMDASMClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.PMDASMClassLoader,class,9,12,0.1,7,1,8,3,0,5,3,141,18,105,0,-0.25,8,0
net.sourceforge.pmd.lang.java.typeresolution.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\internal\NullableClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.internal.NullableClassLoader,interface,3,2,1,2,1,3,2,0,1,0,56,1,51,1,-0.5,2,0
net.sourceforge.pmd.lang.java.typeresolution.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\visitors\PMDASMVisitor.java,net.sourceforge.pmd.lang.java.typeresolution.visitors.PMDASMVisitor$PMDSignatureVisitor,innerclass,28,33,0.529523807,34,6,38,8,0,4,0,201,41,366,0,0.317878788,6,0
net.sourceforge.pmd.lang.java.types,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\WildcardTypeImpl.java,net.sourceforge.pmd.lang.java.types.WildcardTypeImpl,class,610,935,0.215586344,458,71,620,211,67,60,16,4581,3794,5767,72,0.100444208,517,0
net.sourceforge.pmd.lang.java.types.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\InternalMethodTypeItf.java,net.sourceforge.pmd.lang.java.types.internal.InternalMethodTypeItf,interface,4,0,0,0,0,7,0,0,0,0,66,1,21,0,-1,0,0
net.sourceforge.pmd.lang.java.types.internal.infer,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\VarWalkStrategy.java,net.sourceforge.pmd.lang.java.types.internal.infer.VarWalkStrategy,interface,369,757,0.318976194,91,62,305,133,23,46,20,3315,2277,4055,28,-0.262659799,167,0
net.sourceforge.pmd.lang.java.types.internal.infer.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\ast\SwitchMirror.java,net.sourceforge.pmd.lang.java.types.internal.infer.ast.SwitchMirror,class,192,143,0.187362638,59,7,71,19,3,12,0,429,3121,507,24,-0.386538462,24,0
org.apache.log4j,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser,class,176,523,0.4786781,268,8,319,185,41,89,66,4286,4234,4758,18,0.053588134,158,0
org.apache.log4j.config,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser$CategoryPatternConverter,innerclass,18,25,0.6,3,0,10,2,1,5,0,76,26,114,5,0,5,0
org.apache.log4j.helpers,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SimpleSocketServer.java,org.apache.log4j.net.SimpleSocketServer,class,175,547,0.427545735,372,39,423,158,26,74,76,3586,4212,5866,15,0.151741973,122,1
org.apache.log4j.jdbc,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SMTPAppender.java,org.apache.log4j.net.SMTPAppender,class,24,62,0.45478722,41,0,48,19,1,5,0,327,1,549,0,0.06122449,0,0
org.apache.log4j.net,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\ClassNamePatternConverter.java,org.apache.log4j.pattern.ClassNamePatternConverter,class,89,330,0.42486586,124,17,137,73,17,56,51,2241,87,2706,5,-0.282242634,22,1
org.apache.log4j.nt,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\DatePatternConverter.java,org.apache.log4j.pattern.DatePatternConverter,class,6,9,0.16666667,4,1,4,4,5,1,6,80,17,148,2,0.5,2,0
org.apache.log4j.or,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FormattingInfo.java,org.apache.log4j.pattern.FormattingInfo,class,8,14,0.583333333,14,2,14,3,2,5,4,195,61,217,2,0.0625,5,0
org.apache.log4j.or.jms,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FullLocationPatternConverter.java,org.apache.log4j.pattern.FullLocationPatternConverter,class,4,2,0,2,1,2,1,0,1,1,38,17,33,2,1,1,0
org.apache.log4j.or.sax,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\IntegerPatternConverter.java,org.apache.log4j.pattern.IntegerPatternConverter,class,2,4,0,2,1,2,0,1,1,1,33,17,35,1,1,1,0
org.apache.log4j.pattern,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\rewrite\RewriteAppender.java,org.apache.log4j.rewrite.RewriteAppender,class,157,346,0.392088175,140,21,160,105,66,63,56,2860,4368,2993,38,0.260110385,43,0
org.apache.log4j.performance,F:\detectionresult\project\log4j-trunk\src\performance\java\org\apache\log4j\performance\SystemTime.java,org.apache.log4j.performance.SystemTime,class,10,23,0.305555557,16,0,25,3,8,7,12,347,13,214,0,0.166666667,5,1
org.apache.log4j.rewrite,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\spi\Configurator.java,org.apache.log4j.spi.Configurator,interface,13,22,0.07954545,18,0,26,3,4,5,2,376,5,253,5,-0.316666667,3,0
org.apache.log4j.spi,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\varia\DenyAllFilter.java,org.apache.log4j.varia.DenyAllFilter,class,75,101,0.216236244,149,5,162,57,4,17,21,1684,1110,1554,4,-0.657440476,158,1
org.apache.log4j.varia,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\WriterAppender.java,org.apache.log4j.WriterAppender,class,44,87,0.545670997,58,0,72,27,0,21,8,889,9,726,2,0.323701299,7,1
org.apache.log4j.xml,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\xml\XMLLayout.java,org.apache.log4j.xml.XMLLayout,class,51,142,0.267972358,26,4,46,25,8,11,34,634,7,1002,0,-0.442176871,13,1
org.apache.log4j.xml.examples,F:\detectionresult\project\log4j-trunk\src\main\javadoc\org\apache\log4j\xml\examples\XMLSample.java,XMLSample,class,7,23,0,2,0,8,2,0,2,2,102,2,56,0,0.5,2,0
org.jext,F:\detectionresult\project\jext-main\lib\org\jext\Utilities.java,org.jext.Utilities,class,180,1020,0.2665327,333,33,350,267,93,72,50,3131,1065,5275,4,-0.347902818,306,0
org.jext.actions,F:\detectionresult\project\jext-main\lib\org\jext\actions\WordCount.java,org.jext.actions.WordCount,class,86,425,0,42,13,42,42,31,61,0,747,21,880,0,-0.920634921,1,1
org.jext.console,F:\detectionresult\project\jext-main\lib\org\jext\console\HistoryModel.java,org.jext.console.HistoryModel,class,43,256,0.62707153,60,12,69,79,13,33,13,900,6,2006,0,-0.12231405,30,0
org.jext.console.commands,F:\detectionresult\project\jext-main\lib\org\jext\console\commands\RunCommand.java,org.jext.console.commands.RunCommand,class,44,75,0.307692314,39,0,39,0,1,20,13,364,1037,310,12,0.692307692,1,0
org.jext.dawn,F:\detectionresult\project\jext-main\lib\org\jext\dawn\Function.java,org.jext.dawn.Function,class,13,85,0.284078733,69,1,69,44,17,12,14,624,2054,902,0,-0.288505747,12,0
