package name,file,class,type,cbo,rfc,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,nof,nopf,nom,nopm,loc,wmc,nc,dit,lcom,fanin,fanout,ca,ce,A,I,D,is_FC
net.sourceforge.pmd.lang.java.metrics.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\WocMetric.java,net.sourceforge.pmd.lang.java.metrics.internal.WocMetric,class,77,44,-0.363636364,-0.363636364,24,1,22,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,25,4,1,0,2,0,19,25,13,23,5,0,11,0,530,307,0,3,0,44,39,335,52,0,0,-0.716666667,2,29,1,3,0,0.75,0.25,1
net.sourceforge.pmd.lang.java.metrics.internal.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\visitors\TccAttributeAccessCollector.java,net.sourceforge.pmd.lang.java.metrics.internal.visitors.TccAttributeAccessCollector,class,108,141,0.163646733,0.205698015,78,0,63,15,0,0,63,0,2,0,11,2,1,6,4,0,8,0,16,80,8,15,0,33,11,31,85,12,64,15,0,0,0,350,6,0,11,1,78,63,578,136,0,0,0.172001764,2,80,0,2,0,1,0,1
net.sourceforge.pmd.lang.java.multifile.signature,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\multifile\signature\JavaSignature.java,net.sourceforge.pmd.lang.java.multifile.signature.JavaSignature,class,23,33,0.62857144,0.8,31,4,26,4,1,0,27,0,0,0,12,2,5,7,0,0,7,0,20,13,0,2,0,6,8,10,23,12,14,2,0,2,0,255,2118,0,13,5,38,28,299,52,4,4,0.333333333,13,10,2,2,0.25,0.5,0.25,0
net.sourceforge.pmd.lang.java.rule,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\JavaRuleViolation.java,net.sourceforge.pmd.lang.java.rule.JavaRuleViolation,class,94,132,0.239583335,0.253472223,59,6,27,20,12,0,41,5,6,0,13,6,0,7,6,0,7,0,12,70,10,16,0,7,41,13,80,4,56,19,0,0,0,628,7177,0,13,0,59,27,529,107,7,8,-0.296296296,1,39,11,3,0.67,0.21,0.12,1
net.sourceforge.pmd.lang.java.rule.bestpractices,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\bestpractices\UseCollectionIsEmptyRule.java,net.sourceforge.pmd.lang.java.rule.bestpractices.UseCollectionIsEmptyRule,class,552,1012,0.252941178,0.260457517,296,15,101,147,16,32,151,0,2,0,64,31,4,35,8,17,52,0,59,385,105,221,2,50,198,201,587,42,514,116,1,11,34,2880,1135,0,88,4,393,140,4050,968,4,4,-0.241947742,25,362,0,8,0.1,1,0.01,1
net.sourceforge.pmd.lang.java.rule.codestyle,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryReturnRule.java,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryReturnRule,class,261,555,0.206763286,0.235748793,161,11,72,65,6,18,97,2,0,0,57,24,0,55,0,2,51,0,50,216,47,55,2,26,233,99,213,40,194,72,0,0,0,1796,1081,2,57,0,161,72,1789,452,5,5,-0.237672584,4,119,0,5,0.01,1,0.01,1
net.sourceforge.pmd.lang.java.rule.design,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\UseUtilityClassRule.java,net.sourceforge.pmd.lang.java.rule.design.UseUtilityClassRule,class,258,526,0.312939962,0.397826087,155,7,71,68,14,2,89,0,2,0,77,45,2,75,0,0,46,0,23,190,33,104,1,13,135,148,358,23,294,57,0,4,9,1965,70,2,103,2,186,81,2094,461,0,0,-0.245592679,6,153,0,6,0,1,0,1
net.sourceforge.pmd.lang.java.rule.documentation,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\documentation\CommentSizeRule.java,net.sourceforge.pmd.lang.java.rule.documentation.CommentSizeRule,class,46,111,0.086309525,0.139880953,39,2,17,18,4,0,22,0,0,0,23,19,4,18,0,1,20,0,19,32,11,25,0,4,54,14,60,11,55,9,0,1,0,439,1028,1,26,4,43,19,413,86,3,3,-0.146825397,1,27,0,3,0.08,0,0.08,0
net.sourceforge.pmd.lang.java.rule.errorprone,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\UselessOperationOnImmutableRule.java,net.sourceforge.pmd.lang.java.rule.errorprone.UselessOperationOnImmutableRule,class,379,796,0.245370371,0.27800926,253,11,100,145,3,5,111,0,0,0,83,42,16,67,0,0,47,0,55,344,90,186,0,45,245,228,547,50,476,117,0,8,2,2328,196,0,106,21,286,125,3120,762,1,1,-0.501014928,21,211,0,3,0.01,1,0.01,1
net.sourceforge.pmd.lang.java.rule.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\internal\JavaRuleViolationFactory.java,net.sourceforge.pmd.lang.java.rule.internal.JavaRuleViolationFactory,class,31,32,0.1,0.1,16,5,4,6,5,1,10,2,1,0,5,4,1,4,0,0,5,0,9,13,3,2,0,1,14,1,15,2,13,6,1,1,1,184,2091,0,5,1,20,7,128,33,1,1,0.928571429,3,7,1,3,0.5,0.75,0.25,0
